,uni_id,uni_name,enroll_id,enroll_name
1,79,nova southeastern university dr. kiran c. patel college of allopathic medicine,31,nova southeastern-patel
2,11,nova southeastern university dr. kiran c. patel college of osteopathic medicine,31,nova southeastern-patel
3,320,university of south carolina school of medicine greenville,127,south carolina greenville
4,319,university of south carolina school of medicine columbia,126,south carolina columbia
5,265,wright state university boonshoft school of medicine,110,wright state-boonshoft
6,189,western michigan university homer stryker m.d. school of medicine,67,western michigan-stryker
7,222,rutgers new jersey medical school,85,rutgers new jersey
8,203,wake forest school of medicine of wake forest baptist medical center,78,wake forest
9,219,geisel school of medicine at dartmouth,82,dartmouth-geisel
10,226,kirk kerkorian school of medicine at unlv,89,unlv-kerkorian
11,241,weill cornell medicine,94,cornell-weill
12,26,burrell college of osteopathic medicine at new mexico state university,87,new mexico
13,224,university of new mexico school of medicine,87,new mexico
14,221,hackensack meridian school of medicine,84,hackensack meridian
15,234,jacobs school of medicine and biomedical sciences at the university at buffalo,91,buffalo-jacobs
16,433,virginia commonwealth university school of medicine,149,virginia commonwealth
17,431,eastern virginia medical school,147,eastern virginia
18,390,texas tech university health sciences center paul l. foster school of medicine,138,Texas Tech-Foster
19,391,texas tech university health sciences center school of medicine,137,texas tech
20,389,texas a&m health science center college of medicine,136,texas a&m
21,316,the warren alpert medical school of brown university,124,brown-alpert
22,280,perelman school of medicine at the university of pennsylvania,117,pennsylvania-perelman
23,281,sidney kimmel medical college at thomas jefferson university,115,jefferson-kimmel
24,276,geisinger commonwealth school of medicine,114,geisinger commonwealth
25,132,university of massachusetts t.h. chan school of medicine,57,massachusetts-chan
26,70,frank h. netter m.d. school of medicine at quinnipiac university,21,quinnipiac-netter
27,95,southern illinois university school of medicine,47,southern illinois
28,73,george washington university school of medicine and health sciences,23,george washington
29,92,loyola university chicago stritch school of medicine,44,loyola-stritch
30,90,carle illinois college of medicine,40,carle illinois
31,89,university of iowa roy j. and lucille a. carver college of medicine,39,iowa-carver
32,88,university of hawaii john a. burns school of medicine,38,hawaii-burns
33,83,usf health morsani college of medicine,33,usf-morsani
34,193,saint louis university school of medicine,72,saint louis
35,54,university of arizona college of medicine - phoenix,5,arizona phoenix
36,180,johns hopkins university school of medicine,59,johns hopkins
37,60,loma linda university school of medicine,10,loma linda
38,381,meharry medical college,130,meharry
39,380,east tennessee state university james h. quillen college of medicine,129,East Tennessee-Quillen
40,382,university of tennessee health science center college of medicine,131,tennessee
41,383,vanderbilt university school of medicine,132,vanderbilt
42,472,university of wisconsin school of medicine and public health,155,wisconsin
43,471,medical college of wisconsin,154,MC Wisconsin
44,3,new york institute of technology college of osteopathic medicine at arkansas state university,3,arkansas
45,51,university of arkansas for medical sciences college of medicine,3,arkansas
46,1011,university of arkansas for medical sciences,3,arkansas
47,2,arkansas college of osteopathic medicine,3,arkansas
48,386,baylor college of medicine,133,baylor
49,5,a.t. still university school of osteopathic medicine in arizona,4,arizona
50,54,university of arizona college of medicine - phoenix,4,arizona
51,4,midwestern university arizona college of osteopathic medicine,4,arizona
52,53,university of arizona college of medicine,4,arizona
53,438,"Robert Larner, M.D., College of Medicine at the University of Vermont",151,Vermont-Larner
54,434,virginia tech carilion school of medicine,150,Virginia Tech Carilion
55,432,university of virginia school of medicine,148,virginia
56,439,University of Washington School of Medicine,153,Washington State-Floyd
57,76,charles e. schmidt college of medicine at florida atlantic university,28,Florida Atlantic-Schmidt
58,77,florida international university herbert wertheim college of medicine,36,FIU-Wertheim
59,80,university of central florida college of medicine,32,UCF
60,81,university of florida college of medicine,27,florida
61,78,florida state university college of medicine,29,florida state
62,61,stanford university school of medicine,12,stanford
63,74,georgetown university school of medicine,24,georgetown
64,72,yale school of medicine,22,yale
65,59,keck school of medicine of the university of southern california,11,Southern Cal-Keck
66,57,california university of science and medicine-school of medicine,6,california
67,7,touro university california college of osteopathic medicine,6,california
68,56,california northstate university college of medicine,7,california northstate
69,71,university of connecticut school of medicine,20,connecticut
70,69,university of colorado school of medicine,19,colorado
71,75,howard university college of medicine,25,howard
72,201,duke university school of medicine,75,duke
73,699,duke university medical center,75,duke
74,84,emory university school of medicine,34,emory
75,86,mercer university school of medicine,36,mercer
76,205,creighton university school of medicine,80,creighton
77,206,university of nebraska college of medicine,81,nebraska
78,712,university of nebraska medical center,81,nebraska
79,192,university of minnesota medical school,69,minnesota
80,191,Mayo Clinic Alix School of Medicine,68,mayo-alix
81,185,michigan state university college of human medicine,64,michigan state
82,20,michigan state university college of osteopathic medicine,64,michigan state
83,184,central michigan university college of medicine,62,central michigan
84,187,university of michigan medical school,63,michigan
85,228,albany medical college,90,albany
86,231,cuny school of medicine,92,cuny
87,182,university of maryland school of medicine,60,maryland
88,2481,albert einstein college of medicine,95,einstein
89,131,tufts university school of medicine,58,tufts
90,130,harvard medical school,56,harvard
91,128,tulane university school of medicine,54,tulane
92,240,university of rochester school of medicine and dentistry,101,rochester
